Max Acceleration,Horse Power,Weight
12,130,3504
11.5,165,3693
11,150,3436
12,150,3433
10.5,140,3449
10,198,4341
9,220,4354
8.5,215,4312
10,225,4425
8.5,190,3850
17.5,115,3090
11.5,165,4142
11,153,4034
10.5,175,4166
11,175,3850
10,170,3563
8,160,3609
8,140,3353
9.5,150,3761
10,225,3086
15,95,2372
15.5,95,2833
15.5,97,2774
16,85,2587
14.5,88,2130
20.5,46,1835
17.5,87,2672
14.5,90,2430
17.5,95,2375
12.5,113,2234
15,90,2648
14,215,4615
15,200,4376
13.5,210,4382
18.5,193,4732
15.5,86,2464
16.9,81,2220
14.9,92,2572
17.7,79,2255
15.3,83,2202
13,140,4215
13,150,4190
13.9,120,3962
12.8,152,4215
15.4,100,3233
14.5,105,3353
17.6,81,3012
17.6,90,3085
22.2,52,2035
22.1,60,2164
14.2,70,1937
17.4,53,1795
17.7,100,3651
21,78,3574
16.2,110,3645
17.8,95,3193
12.2,71,1825
17,70,1990
16.4,75,2155
13.6,72,2565
15.7,102,3150
13.2,150,3940
21.9,88,3270
15.5,108,2930
16.7,120,3820
12.1,180,4380
12,145,4055
15,130,3870
14,150,3755
19.6,88,2605
18.6,88,2640
18,88,2395
16.2,85,2575
16,84,2525
18,90,2735
16.4,92,2865
20.5,NaN,3035
15.3,74,1980
18.2,68,2025
17.6,68,1970
14.7,63,2125
17.3,70,2125
14.5,88,2160
14.5,75,2205
16.9,70,2245
15,67,1965
15.7,67,1965
16.2,67,1995
16.4,110,2945
17,85,3015
14.5,92,2585
14.7,112,2835
13.9,96,2665
13,84,2370
17.3,90,2950
15.6,86,2790
24.6,52,2130
11.6,84,2295
18.6,79,2625
19.4,82,2720
